RIC,ISIN,Company Common Name,Country of Headquarters,Country of Exchange,TRBC Economic Sector Name,TRBC Economic Sector Code,TRBC Business Sector Name,TRBC Business Sector Code,TRBC Industry Group Name,TRBC Industry Group Code,TRBC Industry Name,TRBC Industry Code,TRBC Activity Name,TRBC Activity Code,Organization Founded Year
SYN0010.X,SY0000000010,Synthetic Firm 0010,United Kingdom,United Kingdom,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,1974.0
SYN0011.X,SY0000000011,Synthetic Firm 0011,Spain,Spain,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2021.0
SYN0012.X,SY0000000012,Synthetic Firm 0012,Italy,Italy,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1991.0
SYN0013.X,SY0000000013,Synthetic Firm 0013,Sweden,Sweden,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,1959.0
SYN0014.X,SY0000000014,Synthetic Firm 0014,Turkey,Turkey,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1932.0
SYN0015.X,SY0000000015,Synthetic Firm 0015,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2008.0
SYN0016.X,SY0000000016,Synthetic Firm 0016,Czechia,Czechia,Utilities,57.0,Utilities Services,57.0,Utilities Group,57.0,Utilities Industry,57.0,Utilities Activity,57.0,2016.0
SYN0017.X,SY0000000017,Synthetic Firm 0017,Romania,Romania,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2021.0
SYN0018.X,SY0000000018,Synthetic Firm 0018,Romania,Romania,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2004.0
SYN0019.X,SY0000000019,Synthetic Firm 0019,Ireland,Ireland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1952.0
SYN0020.X,SY0000000020,Synthetic Firm 0020,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2002.0
SYN0021.X,SY0000000021,Synthetic Firm 0021,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1941.0
SYN0022.X,SY0000000022,Synthetic Firm 0022,United Kingdom,United Kingdom,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,1954.0
SYN0023.X,SY0000000023,Synthetic Firm 0023,Sweden,Sweden,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,2006.0
SYN0024.X,SY0000000024,Synthetic Firm 0024,Sweden,Sweden,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2003.0
SYN0025.X,SY0000000025,Synthetic Firm 0025,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,0.0
SYN0026.X,SY0000000026,Synthetic Firm 0026,Netherlands,Netherlands,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1965.0
SYN0027.X,SY0000000027,Synthetic Firm 0027,Sweden,Sweden,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1966.0
SYN0028.X,SY0000000028,Synthetic Firm 0028,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2004.0
SYN0029.X,SY0000000029,Synthetic Firm 0029,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2017.0
SYN0030.X,SY0000000030,Synthetic Firm 0030,Germany,Germany,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1915.0
SYN0031.X,SY0000000031,Synthetic Firm 0031,Sweden,Sweden,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1992.0
SYN0032.X,SY0000000032,Synthetic Firm 0032,Sweden,Sweden,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1964.0
SYN0033.X,SY0000000033,Synthetic Firm 0033,Greece,Greece,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1962.0
SYN0034.X,SY0000000034,Synthetic Firm 0034,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2015.0
SYN0035.X,SY0000000035,Synthetic Firm 0035,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2010.0
SYN0036.X,SY0000000036,Synthetic Firm 0036,Israel,Israel,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1984.0
SYN0037.X,SY0000000037,Synthetic Firm 0037,Germany,Germany,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,2017.0
SYN0038.X,SY0000000038,Synthetic Firm 0038,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2020.0
SYN0039.X,SY0000000039,Synthetic Firm 0039,Portugal,Portugal,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1986.0
SYN0040.X,SY0000000040,Synthetic Firm 0040,Israel,Israel,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1976.0
SYN0041.X,SY0000000041,Synthetic Firm 0041,Switzerland,Switzerland,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1982.0
SYN0042.X,SY0000000042,Synthetic Firm 0042,France,France,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,1969.0
SYN0043.X,SY0000000043,Synthetic Firm 0043,Russia,Russia,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1983.0
SYN0044.X,SY0000000044,Synthetic Firm 0044,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2006.0
SYN0045.X,SY0000000045,Synthetic Firm 0045,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1987.0
SYN0046.X,SY0000000046,Synthetic Firm 0046,Luxembourg,Luxembourg,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,1977.0
SYN0047.X,SY0000000047,Synthetic Firm 0047,Spain,Spain,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,2020.0
SYN0048.X,SY0000000048,Synthetic Firm 0048,Switzerland,Switzerland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1995.0
SYN0049.X,SY0000000049,Synthetic Firm 0049,Switzerland,Switzerland,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,1997.0
SYN0050.X,SY0000000050,Synthetic Firm 0050,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1978.0
SYN0051.X,SY0000000051,Synthetic Firm 0051,Latvia,Latvia,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,2017.0
SYN0052.X,SY0000000052,Synthetic Firm 0052,Germany,Germany,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1987.0
SYN0053.X,SY0000000053,Synthetic Firm 0053,Netherlands,Netherlands,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,1949.0
SYN0054.X,SY0000000054,Synthetic Firm 0054,Austria,Austria,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,2012.0
SYN0055.X,SY0000000055,Synthetic Firm 0055,United Kingdom,United Kingdom,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,2005.0
SYN0056.X,SY0000000056,Synthetic Firm 0056,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1966.0
SYN0057.X,SY0000000057,Synthetic Firm 0057,Denmark,Denmark,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1988.0
SYN0058.X,SY0000000058,Synthetic Firm 0058,Israel,Israel,Utilities,57.0,Utilities Services,57.0,Utilities Group,57.0,Utilities Industry,57.0,Utilities Activity,57.0,2014.0
SYN0059.X,SY0000000059,Synthetic Firm 0059,United Kingdom,United Kingdom,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,1989.0
SYN0060.X,SY0000000060,Synthetic Firm 0060,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1994.0
SYN0061.X,SY0000000061,Synthetic Firm 0061,France,France,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2003.0
SYN0062.X,SY0000000062,Synthetic Firm 0062,United Kingdom,United Kingdom,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,2011.0
SYN0063.X,SY0000000063,Synthetic Firm 0063,Germany,Germany,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,0.0
SYN0064.X,SY0000000064,Synthetic Firm 0064,Turkey,Turkey,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2008.0
SYN0065.X,SY0000000065,Synthetic Firm 0065,Sweden,Sweden,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1963.0
SYN0066.X,SY0000000066,Synthetic Firm 0066,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1928.0
SYN0067.X,SY0000000067,Synthetic Firm 0067,France,France,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,0.0
SYN0068.X,SY0000000068,Synthetic Firm 0068,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1973.0
SYN0069.X,SY0000000069,Synthetic Firm 0069,Luxembourg,Luxembourg,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2014.0
SYN0070.X,SY0000000070,Synthetic Firm 0070,Israel,Israel,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1918.0
SYN0071.X,SY0000000071,Synthetic Firm 0071,Switzerland,Switzerland,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,1953.0
SYN0072.X,SY0000000072,Synthetic Firm 0072,Sweden,Sweden,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,0.0
SYN0073.X,SY0000000073,Synthetic Firm 0073,Greece,Greece,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1938.0
SYN0074.X,SY0000000074,Synthetic Firm 0074,Ireland,Ireland,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,1943.0
SYN0075.X,SY0000000075,Synthetic Firm 0075,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2016.0
SYN0076.X,SY0000000076,Synthetic Firm 0076,Iceland,Iceland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1990.0
SYN0077.X,SY0000000077,Synthetic Firm 0077,United Kingdom,United Kingdom,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1961.0
SYN0078.X,SY0000000078,Synthetic Firm 0078,Sweden,Sweden,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,2017.0
SYN0079.X,SY0000000079,Synthetic Firm 0079,Portugal,Portugal,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2007.0
SYN0080.X,SY0000000080,Synthetic Firm 0080,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1943.0
SYN0081.X,SY0000000081,Synthetic Firm 0081,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1997.0
SYN0082.X,SY0000000082,Synthetic Firm 0082,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1994.0
SYN0083.X,SY0000000083,Synthetic Firm 0083,Ireland,Ireland,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1970.0
SYN0084.X,SY0000000084,Synthetic Firm 0084,Switzerland,Switzerland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1957.0
SYN0085.X,SY0000000085,Synthetic Firm 0085,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1947.0
SYN0086.X,SY0000000086,Synthetic Firm 0086,Iceland,Iceland,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1965.0
SYN0087.X,SY0000000087,Synthetic Firm 0087,Germany,Germany,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1949.0
SYN0088.X,SY0000000088,Synthetic Firm 0088,France,France,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1997.0
SYN0089.X,SY0000000089,Synthetic Firm 0089,Germany,Germany,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2002.0
SYN0090.X,SY0000000090,Synthetic Firm 0090,Germany,Germany,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1972.0
SYN0091.X,SY0000000091,Synthetic Firm 0091,Luxembourg,Luxembourg,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1994.0
SYN0092.X,SY0000000092,Synthetic Firm 0092,Germany,Germany,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1994.0
SYN0093.X,SY0000000093,Synthetic Firm 0093,France,France,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1918.0
SYN0094.X,SY0000000094,Synthetic Firm 0094,France,France,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1994.0
SYN0095.X,SY0000000095,Synthetic Firm 0095,Germany,Germany,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,0.0
SYN0096.X,SY0000000096,Synthetic Firm 0096,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2020.0
SYN0097.X,SY0000000097,Synthetic Firm 0097,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2017.0
SYN0098.X,SY0000000098,Synthetic Firm 0098,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1975.0
SYN0099.X,SY0000000099,Synthetic Firm 0099,Germany,Germany,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2009.0
SYN0100.X,SY0000000100,Synthetic Firm 0100,Romania,Romania,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1986.0
SYN0101.X,SY0000000101,Synthetic Firm 0101,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,1975.0
SYN0102.X,SY0000000102,Synthetic Firm 0102,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2014.0
SYN0103.X,SY0000000103,Synthetic Firm 0103,United Kingdom,United Kingdom,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1981.0
SYN0104.X,SY0000000104,Synthetic Firm 0104,Sweden,Sweden,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2003.0
SYN0105.X,SY0000000105,Synthetic Firm 0105,Austria,Austria,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,2023.0
SYN0106.X,SY0000000106,Synthetic Firm 0106,Germany,Germany,Consumer Non-Cyclicals,52.0,Consumer Non-Cyclicals Services,52.0,Consumer Non-Cyclicals Group,52.0,Consumer Non-Cyclicals Industry,52.0,Consumer Non-Cyclicals Activity,52.0,2022.0
SYN0107.X,SY0000000107,Synthetic Firm 0107,Estonia,Estonia,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,1945.0
SYN0108.X,SY0000000108,Synthetic Firm 0108,Portugal,Portugal,Basic Materials,59.0,Basic Materials Services,59.0,Basic Materials Group,59.0,Basic Materials Industry,59.0,Basic Materials Activity,59.0,1966.0
SYN0109.X,SY0000000109,Synthetic Firm 0109,Switzerland,Switzerland,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2010.0
SYN0110.X,SY0000000110,Synthetic Firm 0110,Germany,Germany,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,0.0
SYN0111.X,SY0000000111,Synthetic Firm 0111,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1982.0
SYN0112.X,SY0000000112,Synthetic Firm 0112,Czechia,Czechia,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2009.0
SYN0113.X,SY0000000113,Synthetic Firm 0113,Poland,Poland,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2020.0
SYN0114.X,SY0000000114,Synthetic Firm 0114,Germany,Germany,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2012.0
SYN0115.X,SY0000000115,Synthetic Firm 0115,United Kingdom,United Kingdom,Technology,53.0,Technology Services,53.0,Technology Group,53.0,Technology Industry,53.0,Technology Activity,53.0,2009.0
SYN0116.X,SY0000000116,Synthetic Firm 0116,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1969.0
SYN0117.X,SY0000000117,Synthetic Firm 0117,United Kingdom,United Kingdom,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,1964.0
SYN0118.X,SY0000000118,Synthetic Firm 0118,Romania,Romania,Consumer Cyclicals,51.0,Consumer Cyclicals Services,51.0,Consumer Cyclicals Group,51.0,Consumer Cyclicals Industry,51.0,Consumer Cyclicals Activity,51.0,1948.0
SYN0119.X,SY0000000119,Synthetic Firm 0119,Finland,Finland,Utilities,57.0,Utilities Services,57.0,Utilities Group,57.0,Utilities Industry,57.0,Utilities Activity,57.0,2022.0
SYN0120.X,SY0000000120,Synthetic Firm 0120,France,France,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2003.0
SYN0121.X,SY0000000121,Synthetic Firm 0121,Denmark,Denmark,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1972.0
SYN0122.X,SY0000000122,Synthetic Firm 0122,France,France,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,1963.0
SYN0123.X,SY0000000123,Synthetic Firm 0123,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1948.0
SYN0124.X,SY0000000124,Synthetic Firm 0124,United Kingdom,United Kingdom,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,1986.0
SYN0125.X,SY0000000125,Synthetic Firm 0125,Sweden,Sweden,Real Estate,55.0,Real Estate Services,55.0,Real Estate Group,55.0,Real Estate Industry,55.0,Real Estate Activity,55.0,1996.0
SYN0126.X,SY0000000126,Synthetic Firm 0126,France,France,Financials,50.0,Financials Services,50.0,Financials Group,50.0,Financials Industry,50.0,Financials Activity,50.0,2014.0
SYN0127.X,SY0000000127,Synthetic Firm 0127,United Kingdom,United Kingdom,Energy,54.0,Energy Services,54.0,Energy Group,54.0,Energy Industry,54.0,Energy Activity,54.0,1967.0
SYN0128.X,SY0000000128,Synthetic Firm 0128,Czechia,Czechia,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,2003.0
SYN0129.X,SY0000000129,Synthetic Firm 0129,Czechia,Czechia,Healthcare,58.0,Healthcare Services,58.0,Healthcare Group,58.0,Healthcare Industry,58.0,Healthcare Activity,58.0,1953.0
SYN0130.X,SY0000000130,Synthetic Firm 0130,United Kingdom,United Kingdom,Industrials,56.0,Industrials Services,56.0,Industrials Group,56.0,Industrials Industry,56.0,Industrials Activity,56.0,0.0
